,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000130559.19,1748.194152,1.381497376,4.34E-39,1.06E-37,CAMSAP1,#N/A,#N/A,#N/A,yes,yes,#N/A,yes
ENSG00000116670.15,83.69677529,1.381397092,3.34E-14,4.13E-13,MAD2L2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000067704.10,543.8164864,1.380395188,1.20E-32,2.56E-31,IARS2,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000214694.11,119.3519963,1.379588312,1.07E-16,1.46E-15,ARHGEF33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000286159.1,10.48147155,1.378834629,0.003218844,0.014480938,AL035106.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000205155.8,63.6848797,1.37810187,4.08E-12,4.59E-11,PSENEN,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000231185.7,65.2503332,1.37754896,1.15E-11,1.26E-10,SPRY4-AS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000105855.10,202.2748973,1.377533616,8.62E-16,1.13E-14,ITGB8,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000283486.2,20.81529267,1.37735039,1.55E-05,0.000109667,FAM95C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000283196.2,7.417381296,1.376436713,0.009333196,0.035726797,AC006453.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000156253.7,274.6211239,1.375794673,3.11E-24,5.37E-23,RWDD2B,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000176973.8,58.01403338,1.375604386,4.34E-07,3.60E-06,FAM89B,#N/A,#N/A,#N/A,yes,#N/A,yes,#N/A
ENSG00000171703.17,188.7074005,1.375123803,1.57E-11,1.71E-10,TCEA2,#N/A,#N/A,#N/A,#N/A,yes,yes,yes
ENSG00000250349.3,523.120476,1.374962423,3.44E-36,7.88E-35,AF241726.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000234964.4,13.08102536,1.374865825,0.00241218,0.011277773,FABP5P7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000250302.3,79.4755962,1.374581451,5.80E-11,6.16E-10,LINC01618,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000254634.4,69.69409318,1.374492347,1.42E-11,1.55E-10,SMG1P6,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000020922.12,161.0658467,1.37386859,3.16E-20,4.82E-19,MRE11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000136237.19,645.2503448,1.373856023,1.91E-22,3.11E-21,RAPGEF5,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000184007.21,1998.643083,1.37353626,3.83E-37,8.93E-36,PTP4A2,#N/A,#N/A,#N/A,yes,yes,yes,yes
ENSG00000177879.16,844.563985,1.373269043,2.24E-24,3.89E-23,AP3S1,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000056277.16,205.4407101,1.373140115,6.56E-20,9.90E-19,ZNF280C,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000162819.12,379.09181,1.37305078,4.79E-36,1.09E-34,BROX,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000142657.21,939.5126646,1.372502319,6.55E-31,1.34E-29,PGD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000255300.6,13.69727985,1.372474579,0.000733666,0.003910489,LINC02745,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000269292.1,1775.669965,1.371975108,1.41E-34,3.11E-33,AC093503.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000183684.8,82.98020133,1.37160762,2.17E-10,2.23E-09,ALYREF,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000156675.16,143.5431181,1.37148939,8.40E-18,1.19E-16,RAB11FIP1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213025.2,8.540992431,1.371041556,0.00494933,0.021021209,COX20P1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000096063.16,1270.928821,1.370368835,6.63E-33,1.43E-31,SRPK1,#N/A,yes,#N/A,yes,yes,#N/A,yes
ENSG00000231841.1,23.88758167,1.370353655,4.33E-06,3.26E-05,FAM192BP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
