PG.ProteinGroups,P150
Q96RN5,-3.66678173692189
Q9Y5H9,-3.87156681194335
Q9Y3A2,-7.35776819216477
Q9UQ16,-7.43577640053
Q9H2E6,-3.2526205466862
Q96AJ9,-4.94179066941942
Q9Y383,-13.1920488632782
Q9UH73,-1.89092463567374
Q9BT73,-6.33236322168407
Q9BY43,-6.21250207529777
P51674,-8.0766224929892
Q96P47,-5.41387803588327
Q8N608,-5.59334277431406
P27544,0.952205874285901
Q8TAQ2,-4.86422891048919
P40692,-4.91418281179492
Q14166,-8.34762401301996
O60506,-6.94580445715244
O43172,-6.94973262334458
Q15633,-23.2534966642115
Q7Z5N4,-4.549851288308
Q9UJA5,-5.20385978239858
Q96KQ7,-5.12601675768032
O94898,-3.80547383621347
Q9ULB1,-4.13768483690733
A6NIH7,-4.87916627038039
P21912,-23.2534966642115
Q15648,-6.48657345827994
Q6PJG6,-3.99537620927498
Q9ULN7,-3.27844758957291
Q9H3F6,-2.36673822165613
Q8WU90,-4.4492939927692
Q9C0B1,-8.55435206212895
Q9BWH6,-4.22120000721515
Q9P2Q2,-4.32914076353109
O76062,-1.21176889312891
Q6PD74,-7.09903117614163
Q8N5D0,-2.32275447796169
Q8NBI6,-3.6477367580695
Q96PK6,-6.07325489727731
Q96KG9,-5.61708757948263
Q9UBF2,-6.1997983872966
P49918,-3.17898363227889
Q9NS86,-7.20270931655983
Q14980,-5.05652605463596
P19404,-6.77044673049622
Q96A33,-3.26618729325796
Q9NPF5,-3.42175926493695
Q13485,-4.05775343402761
Q76NI1,-3.77279142464376
P60891,-7.1110484075634
Q9UNF1,-4.439414329629
Q96EV2,-5.37917822922545
O15066,-11.4378531970897
Q8WYQ9,-9.40111310713161
P53999,-8.61270430368637
Q8NEZ4,-23.2534966642115
Q86U70,-4.11947095986329
Q9BV68,-3.04809545194638
P09661,-5.06595496360787
Q92618,-3.88500940368103
Q15637,-6.19565057987364
Q9Y2K7,-3.54191635234662
Q14249,-3.4174553637281
P22626,-6.59006318622231
Q8IZ07,-4.86621970013929
Q13283,-6.81220776844794
P09651,-6.63923766447997
Q15276,-8.57556127413915
Q9H425,-4.66154711477931
Q9Y2Q0,-5.96023967494792
Q9P286,-4.63004491315616
P36894,-4.44824069901073
Q9BSJ5,-14.3226889116505
Q8N4S0,-3.37065002615188
Q05BQ5,-5.80716716896367
Q9H299,-4.66464566974999
Q08211,-6.40312504911344
